latin,max_size,max_size_g
Acacia acradenia,10 kg,10000
Acacia aneura,100 kg,100000
Acacia coriacea,10 kg,10000
Acacia cowleana,10 kg,10000
Acacia cuthbertsoni,10 kg,10000
Acacia dictyophleba,10 kg,10000
Acacia kempeana,10 kg,10000
Acacia ligulata,10 kg,10000
Acacia pruinocarpa,100 kg,100000
Acacia spondylophylla,1 kg,1000
Acacia tetragonophylla,10 kg,10000
Allocasuarina decaisneana,1000 kg,1000000
Eucalyptus opaca,1000 kg,1000000
Chaeropus ecaudatus,1 kg,1000
Perameles eremiana,1 kg,1000
Isodon auratus,1 kg,1000
Bettongia lesueur,1 kg,1000
Macrotis lagotis,1 kg,1000
Anas superciliosa,1 kg,1000
Calyptorhynchus roseicapilla,1 kg,1000
Corvus cecilae,1 kg,1000
Falco longipennis,1 kg,1000
Fulica atra,1 kg,1000
Melopsittacus undulatus,100 g,100
Ocyphaps lophotes,100 g,100
Stiltia isabella,100 g,100
Taeniopygia guttata,100 g,100
Turnix velox,100 g,100
Capparis loranthifolia,1 kg,1000
Capparis umbonata,1 kg,1000
Cynanchum floribundum,100 g,100
Enchylaena tomentosa,1 kg,1000
Nitraria billardierei,1 kg,1000
Santalum acuminatum,100 kg,100000
Santalum lanceolatum,10 kg,10000
Senna sp.,1 kg,1000
Sida calyxhymenia,100 g,100
Tecticornia verrucosa,1 kg,1000
Thryptomene maisonneuve,1 kg,1000
Ardeotis australis,10 kg,10000
Camelus dromedarius,1000 kg,1000000
Dasycercus cristicauda,100 g,100
Dasycercus hilleri,100 g,100
Dasyurus hallucatus,100 g,100
Sminthopsis macroura,100 g,100
Felis catus,10 kg,10000
Canis lupus dingo,10 kg,10000
Aquila audax,10 kg,10000
Bird egg shell,,10
Reptile eggs,,10
Dromaius novaehollandiae,100 kg,100000
Fire,,0
human fire,,0
Leptosema chambersii,100 g,100
Scaevola parvifolia,100 g,100
Calandrinia polyandra,10 g,10
Chenopodium curvispicatum,1 kg,1000
Dactyloctenium radulans,10 g,10
Daucus glochidiatus,10 g,10
Portulaca oleracea,100 g,100
Ptilotus exaltatus,10 g,10
Ptilotus macrocephalus,10 g,10
Ptilotus polystachyus,10 g,10
Rhyncharrhena linearis,100 g,100
Tetragonia eremaea,10 g,10
Chioromyces aboriginum,10 g,10
Mycoclelandia bulundarii,10 g,10
Vulpes vulpes,10 kg,10000
Varanus acanthurus,1 kg,1000
Varanus giganteus,10 kg,10000
Varanus gouldii,1 kg,1000
Varanus panoptes,10 kg,10000
Varanus tristis,1 kg,1000
Panicum decompositum,100 g,100
Yakirra australiensis,10 g,10
Thyridolepis multiculmis,100 g,100
Endoxyla cinerea,10 g,10
Endoxyla leucomochla,10 g,10
Homo sapiens,100 kg,100000
Araneidae,<.1 g,0.1
Bdelloid,<.1 g,0.1
Blattodea,1 g,1
Brachionus sp.,<.1 g,0.1
Camponotus inflatus,1 g,1
Cephalodella sp.,<.1 g,0.1
Chilopoda,10 g,10
Chortoicetes terminifera,1 g,1
Coleoptera,1 g,1
Diptera,<.1 g,0.1
Formicidae,<.1 g,0.1
Heteroptera,<.1 g,0.1
Lemna disperma,<.1 g,0.1
Lepidoptera,1 g,1
Mantodea,1 g,1
Nematodes,<.1 g,0.1
Neuroptera,<.1 g,0.1
Orthoptera,1 g,1
Ostracods,<.1 g,0.1
Phasmatodea,<.1 g,0.1
Protozoans (ciliates),<.1 g,0.1
Scorpionida,10 g,10
Trigona sp.,<.1 g,0.1
Zygentoma ,<.1 g,0.1
Psylla eucalypti,<.1 g,0.1
Macropus robustus,100 kg,100000
Macropus rufus,100 kg,100000
Lagorchestes hirsutus,1 kg,1000
Cyperus bulbosus,1 g,1
Myriophyllum crispatum,1 g,1
Typha dominguensis,1 kg,1000
Typha orientalis,1 kg,1000
Eremophila latrobei,1 kg,1000
Eremophila longifolia,1 kg,1000
Canthium attenuatum,1 kg,1000
Canthium latifolium,1 kg,1000
Ficus brachypoda,100 kg,100000
Amphibolurus burnsi,10 g,10
Aprasia striolata,1 g,1
Ctenophorus caudicinctus,100 g,100
Ctenotus isolepis,100 g,100
Ctenotus leonhardii,100 g,100
Ctenotus robustus,100 g,100
Ctenotus strauchii,100 g,100
Egernia kintorei,1 kg,1000
Egernia striata,1 kg,1000
Egernia striolata,1 kg,1000
Hemiergis peronii,100 g,100
Heteronotia binoei,100 g,100
Leiolopisma metallicum,10 g,10
Leiolopisma trilineatum,10 g,10
Lerista bougainvillea,10 g,10
Lophognatus gilberti,100 g,100
Menetia greyii,100 g,100
Moloch horridus,100 g,100
Morethia lineoocellatus,100 g,100
Notaden nichollsi,100 g,100
Oedura marmorata,100 g,100
Pogona minor,100 g,100
Pogona vitticeps,100 g,100
Pygopus schraderi,100 g,100
Tympanocryptis tetraporophora,100 g,100
Oryctolagus cuniculus,1 kg,1000
Leggadina forresti,100 g,100
Notomys sp.,100 g,100
Notoryctes caurinus,100 g,100
Petrogale lateralis,10 kg,10000
Tachyglossus aculeatus,10 kg,10000
Trichosurus vulpecula,10 kg,10000
Antaresia stimsoni,1 kg,1000
Aspidites melanocephalus,1 kg,1000
Aspidites ramsayii,1 kg,1000
Pseudechis australis,1 kg,1000
Suta suta,1 kg,1000
Solanum centrale,1 kg,1000
Solanum chippendalei,1 kg,1000
Solanum cleistogamum,1 kg,1000
Solanum diversiflorum,1 kg,1000
Solanum gilesii,1 kg,1000
Solanum lasiophyllum,1 kg,1000
Eragrostis eriopoda,100 g,100
Eragrostis lanipes,100 g,100
Eragrostis setifolia,100 g,100
Plectrachne schinzii,100 g,100
Triodia basedownii,1 kg,1000
Triodia longiceps,1 kg,1000
Triodia pungens,1 kg,1000
Tiliqua multifasciata,1 kg,1000
Tiliqua occipitalis,1 kg,1000
Tiliqua scincoides,1 kg,1000
Amyema sp.,1 kg,1000
Cucumis melo (agrestis),1 kg,1000
Vigna lanceolata,100 g,100
Grevillea eriostachya,1 kg,1000
Grevillea stenobotrya,1 kg,1000
Grevillea wickhamii,1 kg,1000
Hakea leucoptera,10 kg,10000
Hakea suberea,10 kg,10000
lightning fire,0,0
patchiness,0,0